elbow_left,elbow_right,knee_left,knee_right,hip_left,hip_right,shoulder_left,shoulder_right,y_shoulder,y_hip,y_knee,y_ankle,y_wrist,x_wrist_rel_hip,x_shoulder_rel_hip,label
174.7545166015625,178.4899444580078,111.29310607910156,120.19547271728516,81.25221252441406,80.41898345947266,36.390499114990234,45.5359001159668,0.04321059584617615,0.36854246258735657,0.5667703151702881,0.948853075504303,0.8039318323135376,0.09924441576004028,0.11132630705833435,d
172.08697509765625,178.9181671142578,110.1622543334961,102.5451889038086,79.72402954101562,69.46324157714844,34.22159957885742,44.746253967285156,0.037377942353487015,0.37320372462272644,0.5363205075263977,0.9492194056510925,0.8028104305267334,0.09948210418224335,0.11142867803573608,d
169.45223999023438,177.15574645996094,103.66765594482422,96.42915344238281,75.19580078125,66.9190902709961,32.11631393432617,41.979148864746094,0.03806106373667717,0.3933669924736023,0.5356945395469666,0.9473421573638916,0.8223333358764648,0.09911757707595825,0.111325204372406,d
169.22210693359375,176.60903930664062,101.46772003173828,95.2477035522461,73.47154998779297,66.37642669677734,31.832256317138672,41.495574951171875,0.0371084064245224,0.3957236409187317,0.5294086933135986,0.9475754499435425,0.8250473141670227,0.09960143268108368,0.1113787293434143,d
166.69277954101562,175.0219268798828,94.24365997314453,93.1492691040039,68.49417114257812,65.53425598144531,29.342653274536133,39.96333694458008,0.03814861178398132,0.4131172001361847,0.5266222953796387,0.9465799927711487,0.8374916911125183,0.09887604415416718,0.11144803464412689,d
164.80735778808594,167.70469665527344,85.71208953857422,91.89601135253906,66.05791473388672,65.1255111694336,27.230682373046875,35.639617919921875,0.042486824095249176,0.4486371576786041,0.5502294301986694,0.9404021501541138,0.8718693256378174,0.09856230020523071,0.11133937537670135,d
164.44094848632812,170.94808959960938,75.50173950195312,89.72509002685547,65.10350799560547,66.18548583984375,25.10909080505371,36.43815994262695,0.06452609598636627,0.4823494851589203,0.5662420988082886,0.9444735646247864,0.8677329421043396,0.09987612068653107,0.10714887082576752,d
162.83602905273438,172.68692016601562,76.04364013671875,90.5416488647461,65.33190155029297,66.47508239746094,26.58140754699707,37.59046936035156,0.063896544277668,0.47210821509361267,0.5561820864677429,0.9463952779769897,0.8465879559516907,0.1046053022146225,0.10668055713176727,d
162.70492553710938,173.92945861816406,76.18301391601562,90.95088958740234,65.1418228149414,66.83708953857422,26.84429359436035,38.33491516113281,0.06486690789461136,0.46883735060691833,0.5533707737922668,0.9469054937362671,0.8318567276000977,0.10485643148422241,0.10618311166763306,d
164.3323974609375,174.77056884765625,77.23699188232422,95.91276550292969,65.05421447753906,70.1492919921875,27.881311416625977,38.86114501953125,0.06217257305979729,0.45584481954574585,0.5472226738929749,0.9510161876678467,0.8172273635864258,0.1062684953212738,0.10548242926597595,d
164.48561096191406,175.6708526611328,79.58972930908203,98.51958465576172,63.13386917114258,72.35169982910156,28.616514205932617,39.75301742553711,0.05988252907991409,0.45058467984199524,0.5430193543434143,0.9527690410614014,0.7907087206840515,0.10789278149604797,0.10531353950500488,d
166.1102752685547,176.838623046875,80.42656707763672,102.40188598632812,63.46818161010742,75.3851318359375,30.190811157226562,40.592140197753906,0.05862131342291832,0.44859135150909424,0.5518827438354492,0.9535357356071472,0.7891924977302551,0.1100870817899704,0.105526402592659,d
168.46250915527344,177.419677734375,79.95038604736328,102.43650817871094,62.912418365478516,74.9912338256836,32.15406799316406,41.69194030761719,0.060197826474905014,0.4505506753921509,0.5527954697608948,0.9538486003875732,0.794445276260376,0.11378584802150726,0.10586045682430267,d
168.9027862548828,177.79527282714844,80.2831039428711,102.97793579101562,62.96516418457031,75.21369171142578,32.620506286621094,42.22471618652344,0.0601789765059948,0.4490913450717926,0.5530501008033752,0.9542757272720337,0.7945559620857239,0.11502194404602051,0.10612806677818298,d
169.75494384765625,177.94464111328125,79.47037506103516,102.9855728149414,62.2994499206543,75.08686065673828,32.89402770996094,42.470298767089844,0.06153269112110138,0.45241835713386536,0.5538970828056335,0.954257607460022,0.82474285364151,0.11697156727313995,0.1063421219587326,d
169.9454803466797,177.99649047851562,77.88906860351562,101.73295593261719,61.20857620239258,74.14921569824219,32.78770446777344,42.371498107910156,0.06392861157655716,0.4592515528202057,0.5539076924324036,0.9543972611427307,0.8271100521087646,0.11712971329689026,0.10602393746376038,d
170.51617431640625,178.2679443359375,75.82926177978516,100.62289428710938,60.422061920166016,73.43538665771484,32.734683990478516,42.0076789855957,0.0673326849937439,0.46950066089630127,0.557259202003479,0.9537872076034546,0.8308956027030945,0.11709059774875641,0.10569827258586884,d
170.9222869873047,178.59494018554688,74.08704376220703,99.33187103271484,59.08147430419922,73.06049346923828,32.49637222290039,41.4593620300293,0.06973028182983398,0.47869524359703064,0.5572365522384644,0.9545721411705017,0.8291912078857422,0.11732056736946106,0.10519374907016754,d
170.88026428222656,178.431884765625,74.16250610351562,98.94639587402344,59.02663803100586,72.93680572509766,32.349098205566406,41.17499923706055,0.07182291150093079,0.4819699823856354,0.5569770932197571,0.9552319049835205,0.8251070976257324,0.11780098080635071,0.10476048290729523,d
170.97528076171875,178.46829223632812,72.77210998535156,97.61101531982422,58.36452865600586,72.39532470703125,32.08717346191406,40.73568344116211,0.07437219470739365,0.4899442493915558,0.5590076446533203,0.95567786693573,0.8284853100776672,0.11767344176769257,0.10405659675598145,d
170.05215454101562,178.06478881835938,71.34235382080078,96.02086639404297,56.79453659057617,71.72237396240234,31.021638870239258,39.878929138183594,0.07737424224615097,0.5018993616104126,0.5603723526000977,0.9568780064582825,0.8280693292617798,0.1173986941576004,0.10324148833751678,d
